version,downloadUrl,checksum,wrapperChecksum,gradlew,gradlewBat
7.3.2,https://services.gradle.org/distributions/gradle-7.3.2-bin.zip,23b89f8eac363f5f4b8336e0530c7295c55b728a9caa5268fdd4a532610d5392,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3.1,https://services.gradle.org/distributions/gradle-7.3.1-bin.zip,9afb3ca688fc12c761a0e9e4321e4d24e977a4a8916c8a768b1fe05ddb4d6b66,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3,https://services.gradle.org/distributions/gradle-7.3-bin.zip,de8f52ad49bdc759164f72439a3bf56ddb1589c4cde802d3cec7d6ad0e0ee410,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3-rc-2,https://services.gradle.org/distributions/gradle-7.3-rc-5-bin.zip,dca199cee2553ec2497e840bf17969e56d4f99df661a693740b90de7ed0efbeb,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3-rc-1,https://services.gradle.org/distributions/gradle-7.3-rc-1-bin.zip,d23a3a902b3c4a8cc6952ff236fb83279a266aec1854b01286ed04788a5d3d9a,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3-rc-4,https://services.gradle.org/distributions/gradle-7.3-rc-4-bin.zip,488d250f4a1ae7744dcdf53fef0708f4a3e373023b8c134eda1be98aba4ed260,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3-rc-3,https://services.gradle.org/distributions/gradle-7.3-rc-3-bin.zip,d57eb720003db00f85915c48ff4a5ac3c7e8a8a34bd34ced16ca0c7a31c10110,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3-rc-5,https://services.gradle.org/distributions/gradle-7.3-rc-5-bin.zip,dca199cee2553ec2497e840bf17969e56d4f99df661a693740b90de7ed0efbeb,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.2,https://services.gradle.org/distributions/gradle-7.2-bin.zip,f581709a9c35e9cb92e16f585d2c4bc99b2b1a5f85d2badbd3dc6bff59e1e6dd,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.2-rc-1,https://services.gradle.org/distributions/gradle-7.2-rc-2-bin.zip,e7ed72455ea34234ffb244621d384c94e86c4adfcb0bc9e7c60ff4849ee69a77,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.2-rc-3,https://services.gradle.org/distributions/gradle-7.2-rc-3-bin.zip,12215a4146ab05309893c24fb7d0c32366ab6b548e2de84185d781ec639a6283,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.2-rc-2,https://services.gradle.org/distributions/gradle-7.2-rc-2-bin.zip,e7ed72455ea34234ffb244621d384c94e86c4adfcb0bc9e7c60ff4849ee69a77,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.1.1,https://services.gradle.org/distributions/gradle-7.1.1-bin.zip,bf8b869948901d422e9bb7d1fa61da6a6e19411baa7ad6ee929073df85d6365d,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,ae5b118f,4c6b9dc9
7.1,https://services.gradle.org/distributions/gradle-7.1-bin.zip,2debee19271e1b82c6e41137d78e44e6e841035230a1a169ca47fd3fb09ed87b,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,ae5b118f,4c6b9dc9
