Convention type,Pattern,Example,Frequency,Scope
naming,format* method naming pattern,formatInfiniteLoop,,project-wide
imports,Static imports from org.openrewrite.java.format,org.openrewrite.java.format.AutodetectGeneralFormatStyle.autodetectGeneralFormatStyle,,project-wide
imports,Static imports from org.openrewrite.marker,org.openrewrite.marker.Markers.EMPTY,,project-wide
naming,update* method naming pattern,updateInitializer,,project-wide
naming,Utils suffix for classes,JavaKeywordUtils,,project-wide
naming,set* method naming pattern,setClasspath,,project-wide
naming,load* method naming pattern,loadClass,,project-wide
naming,process* method naming pattern,processArgument,,project-wide
naming,handle* method naming pattern,handleStringConcatenation,,project-wide
imports,Static imports from org.openrewrite.java.style,org.openrewrite.java.style.ImportLayoutStyle.isPackageAlwaysFolded,,project-wide
naming,can* method naming pattern,canSimplifyDoubleNegation,,project-wide
imports,Static imports from org.openrewrite.format,org.openrewrite.format.LineBreaks.normalizeNewLines,,project-wide
imports,Static imports from org.openrewrite.java.tree.JContainer,org.openrewrite.java.tree.JContainer.Location.THROWS,,project-wide
naming,Factory suffix for classes,DefaultJavaTypeFactory,,project-wide
imports,Static imports from org.openrewrite.java.internal.parser,org.openrewrite.java.internal.parser.JavaParserCaller.findCaller,,project-wide
naming,Base prefix for base classes,BaseType,,project-wide
imports,Static imports from org.objectweb.asm,org.objectweb.asm.ClassWriter.COMPUTE_MAXS,,project-wide
naming,Helper suffix for classes,AnnotationCollectorHelper,,project-wide
imports,Static imports from org.openrewrite.rpc,org.openrewrite.rpc.RpcReceiveQueue.toEnum,,project-wide
imports,Static imports from org.openrewrite.java.tree.JavaCoordinates,org.openrewrite.java.tree.JavaCoordinates.Mode.AFTER,,project-wide
imports,Static imports from org.openrewrite.java.tree.Space,org.openrewrite.java.tree.Space.Location.*,,project-wide
imports,Static imports from org.openrewrite.java.tree.TypeUtils.ComparisonContext,org.openrewrite.java.tree.TypeUtils.ComparisonContext.InferenceDirection.FROM,,project-wide
imports,Static imports from com.tngtech.archunit.base,com.tngtech.archunit.base.DescribedPredicate.doNot,,project-wide
imports,Static imports from com.tngtech.archunit.core.domain.properties.HasName,com.tngtech.archunit.core.domain.properties.HasName.Predicates.name,,project-wide
imports,Static imports from com.tngtech.archunit.lang.syntax,com.tngtech.archunit.lang.syntax.ArchRuleDefinition.all,,project-wide
imports,Static imports from io.micrometer.core.instrument.util,io.micrometer.core.instrument.util.DoubleFormat.decimalOrNan,,project-wide
naming,Tests suffix for classes,AnnotationEscapingTests,,project-wide
imports,Static imports from org.openrewrite.marketplace,org.openrewrite.marketplace.RecipeBundle.runtimeClasspath,,project-wide
imports,Static imports from org.openrewrite.java.internal.template,org.openrewrite.java.internal.template.PatternVariables.alwaysCompletesAbnormally,,project-wide
