Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"ParameterizedTest, CsvSource",1,
org.jetbrains:annotations:26.1.0,org.jetbrains,,Language,1,
org.junit-pioneer:junit-pioneer:2.3.0,org.junit-pioneer,,ExpectedToFail,1,
org.assertj:assertj-core:4.0.0-M1,org.assertj,,ThrowableAssert.ThrowingCallable,1,
com.fasterxml.jackson.core:jackson-core:2.21.2,com.fasterxml.jackson.core,,JsonParser.Feature,1,
com.fasterxml.jackson.module:jackson-module-parameter-names:2.21.2,com.fasterxml.jackson.module,,ParameterNamesModule,1,
io.micrometer:micrometer-core:1.17.0-RC1,io.micrometer,,"Metrics, MeterFilter",1,
com.fasterxml.jackson.dataformat:jackson-dataformat-csv:2.21.2,com.fasterxml.jackson.dataformat,,"CsvMapper, CsvSchema",1,
org.assertj:assertj-core:3.27.8-SNAPSHOT,org.assertj,,SoftAssertions,1,
org.antlr:antlr4-runtime:4.13.2,org.antlr,,"Recognizer, CommonTokenStream, BaseErrorListener, RecognitionException, CharStreams",1,
org.apache.commons:commons-text:1.15.0,org.apache.commons,,StringEscapeUtils,1,
io.micrometer:micrometer-core:1.9.17,io.micrometer,,"CompositeMeterRegistry, Timer.Sample, Timer, Metrics",1,
org.ow2.asm:asm:9.9.1,org.ow2.asm,,"ClassVisitor, ClassReader, Opcodes",1,
org.opentest4j:opentest4j:1.3.0,org.opentest4j,,TestAbortedException,1,
org.assertj:assertj-core:3.27.4,org.assertj,,ThrowingExtractor,1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.projectlombok:lombok:1.18.46,org.projectlombok,,"Builder, Value, EqualsAndHashCode, AllArgsConstructor",1,
com.fasterxml.jackson.core:jackson-annotations:2.21,com.fasterxml.jackson.core,,JsonCreator,1,
org.jetbrains:annotations:26.1.0,org.jetbrains,,Language,1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,Test,1,
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"ValueSource, ParameterizedTest",1,
org.junit-pioneer:junit-pioneer:2.0.0,org.junit-pioneer,,ExpectedToFail,1,
io.github.classgraph:classgraph:4.8.184,io.github.classgraph,,"ScanResult, Resource, ClassGraph",1,
org.assertj:assertj-core:4.0.0-M1,org.assertj,,Assertions,1,
org.antlr:antlr4-runtime:4.13.2,org.antlr,,"Recognizer, CommonTokenStream, BaseErrorListener, RecognitionException, CharStreams",1,
com.fasterxml.jackson.module:jackson-module-parameter-names:2.21.2,com.fasterxml.jackson.module,,ParameterNamesModule,1,
io.moderne:jsonrpc:1.1.0-SNAPSHOT,io.moderne,,"JsonMessageFormatter, HeaderDelimitedMessageHandler, TraceMessageHandler, JsonRpc",1,
org.junit.platform:junit-platform-suite-api:1.14.0,org.junit.platform,,"ExcludeClassNamePatterns, SuiteDisplayName, Suite, AfterSuite, SelectPackages, BeforeSuite",1,
org.apache.groovy:groovy:4.0.31,org.apache.groovy,,CompilerConfiguration,1,
com.fasterxml.jackson.core:jackson-databind:2.21.2,com.fasterxml.jackson.core,,"JsonNode, ObjectMapper, DeserializationFeature",1,
com.fasterxml.jackson.core:jackson-core:2.21.2,com.fasterxml.jackson.core,,TypeReference,1,
org.gradle:gradle-base-services:6.1.1,org.gradle,,GradleVersion,1,
org.assertj:assertj-core:3.27.8-SNAPSHOT,org.assertj,,"BooleanAssert, AutoCloseableSoftAssertions, ObjectAssert, StringAssert",1,
